ID No,Written By,Written To,Date,Written From,LB Ref No,Info
876,"White, J. Edson","White, W.C.",9/12/1914,"Marshall, MI",,
877,"White, W.C.","White, J. Edson",9/12/1914,"Madison, TN",,
878,"White, J. Edson","White, W.C.",10/12/1914,"Marshall, MI",,
879,"White, J. Edson","White, W.C.",11/12/1914,"Marshall, MI",,
880,"White, J. Edson",Review & Herald Pub Assn,13/12/1914,"Marshall, MI",,
881,"White, J. Edson","White, W.C.",14/12/1914,"Marshall, MI",,
882,"White, J. Edson","White, W.C.",15/12/1914,"Marshall, MI",,
883,"White, W.C.","White, J. Edson",15/12/1914,"Madison, TN",,
884,"White, J. Edson","Mason, A.H.",16/12/1914,"Marshall, MI",,
885,"White, W.C.","Colcord, W.A.",16/12/1914,"Madison, TN",,
886,"White, W.C.","White, J. Edson",16/12/1914,"Madison, TN",,
887,"White, W.C.","White, J. Edson",17/12/1914,"Madison, TN",,
888,"Palmer, E.R.","White, J. Edson",17/12/1914,,,
889,"White, J. Edson","White, W.C.",18/12/1914,"Marshall, MI",,
890,"White, J. Edson","White, W.C.",24/12/1914,"Marshall, MI",,
891,"White, W.C.","White, J. Edson",25/12/1914,"Madison, TN",,
892,"White, J. Edson","White, W.C.",28/12/1914,"Marshall, MI",,
893,"White, J. Edson","White, Mrs E.G.",30/12/1914,"Marshall, MI",,
894,,JE White in A/c with EGW,8/12/1914,"Nashville, TN",,
895,,WC White Special,1/4/1915,,,
896,,A/c of JE White,1914,,,
897,"White, J. Edson","White, W.C.",1/7/1914,"Marshall, MI",,
898,"White, J. Edson","White, W.C.",7/1/1915,"Marshall, MI",,
899,"White, J. Edson","White, W.C.",8/1/1915,"Marshall, MI",,
900,"White, J. Edson","White, W.C.",1/12/1015,"Marshall, MI",,
901,"White, J. Edson","White, W.C.",10/1/1915,"Marshall, MI",,
902,"White, W.C.","White, J.E.",1/13/1915,,,
903,"White, J. Edson","White, W.C.",1/15/1915,"Marshall, MI",,
904,"White, W.C.","White, J.E.",1/16/1915,"Madison, TN",,duplicate
905,"White, J. Edson","White, W.C.",1/20/1915,"Marshall, MI",,
906,"White, W.C.","White, J.E.",1/23/1915,"Boulder, CO",,
907,"White, W.C.",Brother Edson,1/26/1915,"Summit, CA",,
908,"White, J. Edson","White, W.C.",1/28/1915,"Marshall, MI",,
909,"White, W.C.",Brother Edson,4/2/1915,"Sanitarium, CA",,
910,"Robinson, D.E.","White, J.E.",2/10/1015,"Sanitarium, CA",,
911,"White, J. Edson","White, W.C.",12/2/1915,"Marshall, MI",,
912,"White, W.C.",Sabbath morning…,2/15/1915,,,telegram
913,"White, W.C.","White, J.E.",2/15/1915,,,telegram
914,"White, J. Edson","White, W.C.",2/17/1915,"Marshall, MI",,
915,"White, W.C.","White, J.E.",2/17/1915,"Elmshaven, CA",,
916,"White, W.C.","White, J.E.",2/18/1915,"Elmshaven, CA",,
917,"White, W.C.","White, J.E.",2/22/1915,"Elmshaven, CA",,
918,"White, J. Edson",Dear Mother,2/23/1915,"Marshall, MI",,
919,"White, W.C.","White, J.E.",2/26/1915,"Elmshaven, CA",,
920,"White, W.C.","White, J.E.",1/3/1915,"Elmshaven, CA",,
921,"White, J. Edson","White, W.C.",3/3/1915,"Marshall, MI",,
922,"White, W.C.","White, J.E.",5/3/1915,"Elmshaven, CA",,
923,"White, J. Edson","White, W.C.",8/3/1915,"Marshall, MI",,
924,"White, W.C.","White, J.E.",12/3/1915,"Sanitarium, CA",,
925,"White, J. Edson","White, Mrs E.G.",3/16/1915,"Marshall, MI",,
926,"White, J. Edson","White, W.C.",3/16/1915,"Marshall, MI",,
927,"White, W.C.","White, J.E.",3/18/1915,"Sanitarium, CA",,
928,"White, W.C.","White, J.E.",3/19/1915,"Sanitarium, CA",,
929,"White, W.C.","White, J.E.",3/21/1915,"Sanitarium, CA",,
930,"White, J. Edson","White, W.C.",3/26/1915,"Marshall, MI",,
931,"White, J. Edson","White, W.C.",3/26/1915,"Marshall, MI",,
932,"White, J. Edson","White, W.C.",3/29/1915,"Marshall, MI",,
933,"White, J. Edson",Pacific Press Pub. Asso.,1/4/1915,"Marshall, MI",,
934,"White, W.C.","White, J.E.",2/4/1915,"Sanitarium, CA",,
935,"White, J. Edson","White, W.C.",7/4/1915,"Marshall, MI",,
936,"White, J. Edson","White, W.C.",7/4/1915,"Marshall, MI",,
937,"White, W.C.","White, J.E.",8/4/1915,"Sanitarium, CA",,
938,"White, J. Edson","White, W.C.",11/4/1915,"Marshall, MI",,
939,"White, J. Edson",Pacific Press Pub. Asso.,11/4/1915,"Marshall, MI",,
940,"White, W.C.","White, J.E.",4/13/1915,"Sanitarium, CA",,
941,"White, J. Edson","White, W.C.",4/13/1915,"Marshall, MI",,
942,"White, W.C.","White, J.E.",4/17/1915,"Sanitarium, CA",,duplicate
943,"White, J. Edson","White, W.C.",4/19/1915,"Marshall, MI",,
944,"White, J. Edson","White, W.C.",4/21/1915,"Marshall, MI",,
945,"White, J. Edson",Southern Publishing Assoc,4/21/1915,,,
946,Nashville Book Co,Southern Publishing Assoc,4/19/1915,,,
947,"White, J. Edson",Southern Publishing Assoc,9/3/1915,,,
948,Nashville Book Co,Nashville Book Company…,,,,
949,"White, W.C.","White, J.E.",4/23/1915,"Sanitarium, CA",,
950,"White, W.C.","White, J.E.",4/27/1915,"Sanitarium, CA",,
951,"White, W.C.","White, J.E.",12/5/1915,"Sanitarium, CA",,
952,"White, W.C.","White, J.E.",5/13/1915,"Sanitarium, CA",,duplicate
953,"White, J. Edson","White, W.C.",5/19/1915,"Marshall, MI",,
954,"White, W.C.","White, J.E.",5/23/1915,"Sanitarium, CA",,
955,"White, J. Edson","Mason, A.H.",7/6/1915,"Marshall, MI",,
956,"White, W.C.","White, J.E.",8/6/1915,"Sanitarium, CA",,
957,"White, J.E. & secretary",Southern Publishing Assoc,6/14/1915,"Marshall, MI",,
958,"Palmer, E.R.","White, J.E.",6/17/1915,Review & Herald,,
959,"White, J. Edson",Southern Publishing Assoc,6/18/1915,,,
960,"White, J. Edson","White, W.C.",6/20/1915,"Marshall, MI",,
961,"White, J. Edson","White, W.C.",6/25/1915,"Marshall, MI",,
962,"White, J. Edson","White, W.C.",6/30/1915,"Marshall, MI",,
963,"White, J. Edson","White, W.C.",5/7/1915,"Marshall, MI",,
964,"White, W.C.",Brother Edson,8/7/1915,"Sanitarium, CA",,
965,"White, W.C.",Brother Edson,10/7/1915,"Sanitarium, CA",,
966,"White, W.C.",Brother Edson,12/7/1915,"Sanitarium, CA",,
967,"White, J. Edson","White, W.C.",7/15/1915,"Marshall, MI",,
968,"White, W.C.","White, J.E.",7/16/1915,"Sanitarium, CA",,
969,"White, J. Edson","White, W.C.",7/20/1915,"Marshall, MI",,
970,"White, W.C.","White, J.E.",Jul-15,"Marshall, MI",,telegram
971,"White, J. Edson","White, W.C.",1/8/1915,"Marshall, MI",,
972,"White, J. Edson","Mason, A.H.",12/8/1915,"Marshall, MI",,
973,"White, J. Edson","Mason, A.H.",8/31/1915,"Marshall, MI",,
974,"White, W.C.",Brother Edson,8/31/1915,"Sanitarium, CA",,
975,"White, J. Edson","Wilcox, Wilbert",1/9/1915,"Marshall, MI",,
976,"White, J. Edson",W.C.W.,1/9/1915,,,
977,"White, J. Edson","White, W.C.",1/9/1915,"Marshall, MI",,
978,"White, J. Edson","White, W.C.",9/13/1915,"Marshall, MI",,
979,"White, W.C.","White, J.E.",8/9/1915,,,duplicate
980,,Bro AH Mason & Sara McEnt…,9/17/1915,,,
981,"White, J. Edson","Mason, A.H.",9/16/1915,"Marshall, MI",,
982,"White, W.C.","Mason, A.H.",9/17/1915,"Sanitarium, CA",,
983,"White, J. Edson","White, W.C.",9/23/1915,"Marshall, MI",,
984,"White, J. Edson","White, W.C.",10/14/1915,"Marshall, MI",,
985,"White, J. Edson","White, W.C.",10/15/1915,"Marshall, MI",,
986,"White, W.C.","White, J.E.",10/25/1915,"Elmshaven, CA",,
987,"White, J. Edson","White, W.C.",9/11/1915,"Marshall, MI",,duplicate
988,"White, J. Edson","White, W.C.",11/15/1915,"Marshall, MI",,
989,"White, J. Edson","White, W.C.",11/17/1915,"Marshall, MI",,
990,"White, J. Edson","White, W.C.",1/12/1915,"Marshall, MI",,
991,"White, W.C.","White, J.E.",7/12/1915,"Elmshaven, CA",,
992,"White, J. Edson","White, W.C.",9/12/1915,"Marshall, MI",,
993,"White, W.C.","White, J.E.",10/12/1915,"Elmshaven, CA",,
994,"White, J. Edson","White, W.C.",12/14/1915,"Marshall, MI",,
995,"White, J. Edson","White, W.C.",12/12/1915,"Marshall, MI",,
996,"White, J. Edson","Burden, J.A.",12/12/1915,"Marshall, MI",,
997,"White, J. Edson","White, W.C.",12/17/1915,"Marshall, MI",,
998,"White, J. Edson","Burden, J.A.",12/17/1915,"Marshall, MI",,
999,"White, W.C.","White, J.E.",12/23/1915,"Elmshaven, CA",,
1000,"White, J. Edson","White, W.C.",12/23/1915,"Marshall, MI",,
1001,"White, J. Edson","White, W.C.",12/24/1915,"Marshall, MI",,
1002,"White, J. Edson","White, W.C.",12/28/1915,"Marshall, MI",,
1003,"White, W.C.","White, J.E.",12/31/1915,"Elmshaven, CA",,
1004,"White, J. Edson","White, W.C.",10/11/1915,"Marshall, MI",,
1005,"White, J. Edson","White, W.C.",6/1/1916,"Marshall, MI",,
1006,"White, W.C.","White, J.E.",1/14/1916,"Elmshaven, CA",,
1007,"White, J. Edson","White, W.C.",1/16/1916,"Marshall, MI",,telegram
1008,"White, J. Edson","White, W.C.",1/21/1916,"Marshall, MI",,
1009,"White, J. Edson","White, W.C.",4/2/1916,"Marshall, MI",,
1010,"White, J. Edson","White, W.C.",7/2/1916,"Marshall, MI",,
1011,"White, J. Edson","White, W.C.",8/2/1916,"Marshall, MI",,
1012,"White, W.C.","White, J.E.",8/2/1961,"Sanitarium, CA",,
1013,"White, W.C.","White, J.E.",2/16/1916,"Sanitarium, CA",,
1014,"White, J. Edson","White, W.C.",2/18/1916,"Marshall, MI",,
1015,"White, W.C.","White, J.E.",2/22/1916,"Sanitarium, CA",,
1016,"White, J. Edson","White, W.C.",3/3/1916,"Marshall, MI",,
1017,"White, J. Edson","White, W.C.",6/3/1916,"Marshall, MI",,
1018,"White, J. Edson","White, W.C.",7/3/1916,"Marshall, MI",,
1019,"White, J. Edson","White, W.C.",3/13/1916,"Marshall, MI",,
1020,"White, J. Edson","White, W.C.",3/13/1916,"Marshall, MI",,
1021,"White, W.C.","White, J.E.",3/14/1916,"Chicago, IL",,
1022,"White, J. Edson","White, W.C.",3/14/1916,"Battle Creek, MI",,
1023,"White, J. Edson",Dear Brother,3/14/1916,"Marshall, MI",,
1024,"White, J. Edson","White, W.C.",3/16/1916,"Marshall, MI",,
1025,"White, J. Edson","White, W.C.",3/18/1916,"Marshall, MI",,
1026,"White, J. Edson","White, W.C.",3/20/1916,"Marshall, MI",,
1027,"White, J. Edson","White, W.C.",3/20/1916,"Marshall, MI",,
1028,"White, W.C.","White, J.E.",3/21/1916,,,
1029,"White, J. Edson","White, W.C.",3/22/1916,"Marshall, MI",,
1030,"White, W.C.","White, J.E.",3/22/1916,,,duplicate
1031,"White, W.C.","White, J.E.",3/27/1916,,,
1032,"White, J. Edson","White, W.C.",3/29/1916,"New York City, NY",,
1033,"White, J. Edson","White, W.C.",3/30/1916,"New York City, NY",,
1034,"White, J. Edson","White, W.C.",4/21/1916,"New York City, NY",,
1035,"White, J. Edson",Dear Brother,4/24/1916,"New York City, NY",,
1036,"White, J. Edson","White, W.C.",4/25/1916,"New York City, NY",,
1037,"White, J. Edson","White, W.C.",9/5/1916,"Marshall, MI",,
1038,"White, J. Edson","White, W.C.",9/5/1916,"Marshall, MI",,
1039,"White, J. Edson","White, W.C.",9/5/1916,"Marshall, MI",,
1040,"White, J. Edson","White, W.C.",10/5/1916,"Marshall, MI",,
1041,"White, J. Edson","White, W.C.",10/5/1916,"Marshall, MI",,
1042,"White, J. Edson","White, W.C.",11/5/1916,"Marshall, MI",,
1043,"White, W.C.","White, J.E.",12/5/1916,"Chicago, IL",,
1044,"White, J. Edson","White, W.C.",5/17/1916,"Marshall, MI",,
1045,"White, W.C.","White, J.E.",5/17/1916,"Denver, CO",,
1046,"White, J. Edson",Dear Friend,,"Marshall, MI",,
1047,"White, J. Edson","White, W.C.",5/17/1916,"Marshall, MI",,
1048,"White, W.C.","White, J.E.",3/21/1916,,,night letter
1049,"White, W.C.",Brother Edson,?,"Madison, IN",,
1050,"White, W.C.",Brother Edson,3/14/1916,"Chicago, IL",,
1051,"White, W.C.","White, J.E.",2/3/1916,"St Helena, CA",,
1052,Nashville Bk Co Manager,"Knox, W.T.",12/4/1916,"Takoma Park, DC",,
1053,,"Knox, W.T. & Committee",4/16/1916,"Takoma Park, DC",,
1054,"White, J. Edson","Knox, W.T.",,,,
1055,"White, J. Edson","Knox, W.T.",5/20/1916,"Marshall, MI",,
1056,Richmond,"White, J.E.",5/25/1916,"Takoma Park, DC",,notation JEW
1057,"White, J. Edson","Knox, W.T.",5/2?/1916,,,
1058,"White, J. Edson","White, W.C.",5/26/1916,"Marshall, MI",,
1059,"White, J. Edson","White, W.C.",5/22/1916,"Marshall, MI",,
1060,"White, J. Edson","White, W.C.",5/31/1916,"Marshall, MI",,
1061,"White, J. Edson",Review & Herald Pub Assoc,2/6/1916,,,
1062,"White, J. Edson","White, W.C.",6/6/1916,,,
1063,"White, J. Edson","White, W.C.",5/6/1916,"Marshall, MI",,
1064,"White, J. Edson","Mason, A.H.",10/6/1916,"Marshall, MI",,
1065,"White, W.C.","White, J.E.",6/23/1916,"St Helena, CA",,
1066,"White, J. Edson","Mason, A.H.",6/26/1916,"Marshall, MI",,
1067,"White, J. Edson","White, W.C.",6/28/1916,"Marshall, MI",,
1068,"White, J. Edson","White, W.C.",6/26/1916,"Marshall, MI",,
1069,"White, W.C.","White, J.E.",6/7/1916,"St Helena, CA",,
1070,"White, J. Edson","White, W.C.",7/7/1916,"Marshall, MI",,
1071,"White, J. Edson","White, W.C.",12/7/1916,"Marshall, MI",,
1072,"White, J. Edson","White, W.C.",7/25/1916,"Marshall, MI",,
1073,"White, W.C.","White, J.E.",3/8/1916,"St Helena, CA",,
1074,"White, J. Edson","White, W.C.",9/8/1916,"Marshall, MI",,
1075,"White, W.C.","White, J.E.",8/16/1916,"St Helena, CA",,
1076,"White, J. Edson","White, W.C.",8/18/1916,"Marshall, MI",,
1077,"White, W.C.","White, J.E.",8/29/1916,"St Helena, CA",,
1078,"White, J. Edson","White, W.C.",6/9/1916,"Marshall, MI",,
1079,"White, J. Edson","White, W.C.",7/9/1916,"Marshall, MI",,
1080,"White, J. Edson","Burden, J.A.",8/9/1916,,,
1081,"White, J. Edson","White, W.C.",9/13/1916,"Marshall, MI",,
1082,"White, W.C.","White, J.E.",9/14/1916,"St Helena, CA",,
1083,"White, J. Edson","White, W.C.",9/25/1916,"Marshall, MI",,
1084,"White, J. Edson","White, W.C.",6/10/1916,"Marshall, MI",,
1085,"White, J. Edson","White, W.C.",10/15/1916,"Marshall, MI",,
1086,"Daniells, A.G.",The Eastern Question-Spec…,,,,
1087,"White, J. Edson","White, W.C.",11/24/1916,"Marshall, MI",,
1088,"White, W.C.","White, J.E.",11/24/1916,"St Helena, CA",,
1089,"White, W.C.","White, J.E.",8/12/1916,"St Helena, CA",,duplicate
1090,"White, J. Edson","Leitzman, C.G.",12/29/1916,,,
1091,"White, J. Edson","Mason, A.H.",10/6/1916,,,
1092,"White, J. Edson","White, W.C.",3/1/1917,"Marshall, MI",,
1093,"White, J. Edson","Leitzman, C.G.",4/1/1917,,,
1094,"White, J. Edson","White, W.C.",5/1/1917,"Marshall, MI",,
1095,"White, W.C.","White, J.E.",5/1/1917,"St Helena, CA",,
1096,"White, J. Edson","White, W.C.",9/1/1917,"Marshall, MI",,
1097,"White, J. Edson","White, W.C.",9/1/1917,"Battle Creek, MI",,
1098,"White, J. Edson","White, W.C.",10/1/1917,"Marshall, MI",,
1099,"White, W.C.","White, J.E.",10/1/1917,"St Helena, CA",,
1100,"White, W.C.","White, J.E.",11/1/1917,"St Helena, CA",,
1101,"White, W.C.","White, J.E.",1/15/1917,"St Helena, CA",,
1102,"White, W.C.","White, J.E.",1/16/1917,"St Helena, CA",,
1103,"White, J. Edson","White, W.C.",1/17/1917,"Marshall, MI",,
1104,"White, J. Edson","White, W.C.",1/18/1917,"Marshall, MI",,
1105,"White, J. Edson","White, W.C.",1/28/1917,"Marshall, MI",,
1106,"White, J. Edson","Mason, A.H.",8/2/1917,"Marshall, MI",,
1107,"White, W.C.","White, J.E.",3/4/1917,"St Helena, CA",,
1108,"White, J. Edson","White, W.C.",4/27/1917,"Marshall, MI",,
1109,"White, J. Edson","Horton, S.B.",4/27/1917,"Marshall, MI",,
1110,"White, W.C.","White, J.E.",4/29/1917,"Nashville, TN",,
1111,"White, J. Edson","White, W.C.",1/5/1917,"Marshall, MI",,
1112,"White, J. Edson","White, W.C.",5/13/1917,"Marshall, MI",,
1113,"White, J. Edson","White, W.C.",5/16/1917,"Marshall, MI",,duplicate
1114,"White, J. Edson","White, W.C.",5/16/1917,"Marshall, MI",,
1115,"Jones, C.H.","White, J.E.",5/17/1917,"Mountain View, CA",,
1116,"White, J. Edson","White, W.C.",5/17/1917,"Marshall, MI",,
1117,"White, W.C.","White, J.E.",5/20/1917,"Madison, TN",,
1118,"White, J. Edson","White, W.C.",1/6/1917,"Marshall, MI",,
1119,"White, J. Edson","White, W.C.",4/6/1917,"Battle Creek, MI",,
1120,"White, J. Edson","White, W.C.",5/6/1917,"Marshall, MI",,
1121,"White, W.C.",Brother Edson,8/6/1917,"Madison, TN",,
1122,"White, J. Edson","White, W.C.",6/13/1917,"Battle Creek, MI",,
1123,"White, J. Edson","White, W.C.",6/22/1917,"Battle Creek, MI",,
1124,"White, J. Edson","White, W.C.",6/27/1917,"Battle Creek, MI",,
1125,"White, J. Edson","Jones, C.H.",6/27/1917,,,
1126,"White, J. Edson","White, W.C.",6/29/1917,"Battle Creek, MI",,
1127,"White, W.C.",Brother Edson,9/7/1917,"Ooltewah, TN",,
1128,"White, J. Edson","White, W.C.",12/7/1917,,,
1129,"White, J. Edson","White, W.C.",7/13/1917,"Battle Creek, MI",,
1130,"White, J. Edson","White, W.C.",7/17/1917,"Battle Creek, MI",,
1131,"White, W.C.",Brother Edson,7/17/1917,"Enfield, NC",,
1132,"White, J. Edson","White, W.C.",7/18/1917,"Battle Creek, MI",,
1133,"White, J. Edson","White, J.E.",5/8/1917,"Marshall, MI",,
1134,"White, J. Edson",Dear Brother,8/14/1917,"Battle Creek, MI",,
1135,"White, W.C.",Brother Edson,8/14/1917,"Takoma Park, DC",,
1136,"White, J. Edson","White, W.C.",8/15/1917,"Battle Creek, MI",,
1137,"White, J. Edson","White, W.C.",8/15/1917,"Battle Creek, MI",,
1138,"White, J. Edson","White, W.C.",8/19/1917,"Battle Creek, MI",,
1139,"White, J. Edson","White, W.C.",8/20/1917,"Battle Creek, MI",,
1140,"White, W.C.","White, J.E.",8/23/1917,"Takoma Park, DC",,
1141,"White, W.C.",Brother Edson,8/31/1917,"Takoma Park, DC",,
1142,"White, J. Edson","White, W.C.",5/9/1917,"Battle Creek, MI",,
1143,"White, J. Edson","White, W.C.",6/9/1917,"Battle Creek, MI",,
1144,"White, W.C.","White, J.E.",9/9/1917,"Takoma Park, DC",,
1145,"White, J. Edson",Dear Brother,11/9/1917,"Battle Creek, MI",,
1146,"White, J. Edson","White, W.C.",11/9/1917,"Battle Creek, MI",,
1147,"White, J. Edson","White, W.C.",9/20/1917,"Battle Creek, MI",,
1148,"White, W.C.","White, J.E.",9/21/1917,"Takoma Park, DC",,
1149,"White, J. Edson","White, W.C.",9/24/1917,"Battle Creek, MI",,
1150,"White, J. Edson","White, W.C.",1/10/1917,"Battle Creek, MI",,
1151,"White, J. Edson","White, W.C.",1/10/1917,"Battle Creek, MI",,
1152,"White, J. Edson","White, W.C.",2/10/1917,"Battle Creek, MI",,
1153,"White, J. Edson","White, W.C.",4/10/1917,"Battle Creek, MI",,duplicate
1154,"White, J. Edson","White, W.C.",4/10/1917,"Battle Creek, MI",,
1155,"White, W.C.",Brother Edson,5/10/1917,"Madison, TN",,
1156,"White, W.C.",Brother Edson,7/10/1917,"Madison, TN",,
1157,"White, J. Edson","White, W.C.",8/10/1917,"Battle Creek, MI",,
1158,,JEW Stereopticon Plant Inventory,9/10/1917,,,
1159,"White, J. Edson","White, W.C.",10/16/1917,"Battle Creek, MI",,
1160,"White, W.C.","White, J.E.",10/17/1917,"Madison, TN",,
1161,"White, J. Edson","White, W.C.",10/19/1917,"Battle Creek, MI",,
1162,"White, W.C.","White, J.E.",10/19/1917,"Hinsdale, IL",,
1163,"White, W.C.",Brother Edson,10/22/1917,"Brookfield, IL",,
1164,"White, J. Edson","White, W.C.",10/24/1917,"Battle Creek, MI",,
1165,"White, W.C.",Brother Edson,10/28/1917,"Minneapolis, MN",,
1166,"White, J. Edson","White, W.C.",11/27/1917,"Battle Creek, MI",,
1167,"White, W.C.",Brother Edson,11/12/1917,"St Helena, CA",,
1168,"White, J. Edson","White, W.C.",11/23/1917,"Battle Creek, MI",,
1169,"White, W.C.","White, J.E.",1/1/1918,"St Helena, CA",,
1170,"White, J. Edson","White, W.C.",1/1/1918,"Battle Creek, MI",,
1171,"White, W.C.","White, J.E.",1/18/1918,"St Helena, CA",,
1172,"White, J. Edson","White, W.C.","1/29,1918","Battle Creek, MI",,
1173,"White, W.C.","White, J.E.",2/13/1918,"St Helena, CA",,
1174,"White, J. Edson","White, W.C.",2/28/1918,"Battle Creek, MI",,duplicate
1175,,House plan diagram,,,,
1176,"Gotzian, Josephene","White, J.E.",,,,agreement
1177,"White, J. Edson",Inventory Stereopticon Plant,,,,
1178,"White, J. Edson","White, W.C.",5/4/1918,"Battle Creek, MI",,
1179,"White, W.C.","White, J.E.",1918,"St Helena, CA",,
1180,"White, J. Edson",Dear Brother,4/4/1918,"Battle Creek, MI",,
1181,"White, J. Edson","White, W.C.",8/4/1918,"Battle Creek, MI",,
1182,"White, J. Edson","White, W.C.",9/4/1918,"Battle Creek, MI",,telegram
1183,"White, J. Edson","White, W.C.",10/4/1918,"Battle Creek, MI",,
1184,"White, J. Edson","White, W.C.",4/20/1918,"Battle Creek, MI",,
1185,"White, J. Edson","White, W.C.",4/24/1918,"Battle Creek, MI",,
1186,"White, W.C.","White, J.E.",3/5/1918,"Loma Linda, CA",,
1187,"White, J. Edson","Gotzian, Josephene",5/13/1918,"Battle Creek, MI",,
1188,"White, J. Edson","White, W.C.",5/17/1918,"Battle Creek, MI",,
1189,"White, W.C.","White, J.E.",5/18/1907,"Madison, TN",,
1190,"White, W.C.","White, J.E.",5/20/1907,"Madison, TN",,
1191,"White, W.C.","White, J.E.",5/21/1907,"Madison, TN",,
1192,"White, J. Edson","White, W.C.",5/24/1918,"Battle Creek, MI",,
1193,"White, J. Edson","Magan, P.T.",5/26/1918,"Battle Creek, MI",,
1194,"White, W.C.",Dear Edson,5/28/1907,"Madison, TN",,
1195,"White, J. Edson","Sutherland, E.A.",5/31/1918,"Battle Creek, MI",,
1196,"White, J. Edson","White, W.C.",5/31/1918,"Battle Creek, MI",,
1197,"Gotzian, Josephene","White, J.E.",,,,agreement
1198,,Inventory Stereopticon Plant,,,,
1199,"White, J. Edson","White, W.C.",3/6/1918,,,duplicate
1200,,re J.E. White…,4/6/1918,,,
1201,"White, J. Edson","White, W.C.",6/6/1918,"Battle Creek, MI",,
1202,"White, J. Edson",Brother Will,6/6/1918,"Battle Creek, MI",,duplicate
1203,"White, J. Edson","White, W.C.",6/6/1918,"Battle Creek, MI",,
1204,"White, J. Edson","Magan, P.T.",7/6/1918,"Battle Creek, MI",,
1205,"White, J. Edson","Gotzian, Josephene",9/6/1918,"Battle Creek, MI",,
1206,"White, W.C.",Brother Edson,12/6/1918,"St Helena, CA",,
1207,"White, J. Edson","Gotzian, Josephene",12/6/1918,"Battle Creek, MI",,
1208,"White, J. Edson","White, W.C.",6/13/1918,"Battle Creek, MI",,
1209,"White, J. Edson","White, W.C.",6/19/1918,"Battle Creek, MI",,
1210,"White, J. Edson","White, W.C.",6/20/1918,"Battle Creek, MI",,
1211,"White, W.C.",Brother Edson,6/28/1918,"St Helena, CA",,
1212,"White, J. Edson","White, W.C.",9/7/1918,"Battle Creek, MI",,
1213,"White, J. Edson","White, W.C.",12/7/1918,"Battle Creek, MI",,
1214,"White, W.C.",Brother Edson,7/18/1918,"St Helena, CA",,
1215,"White, J. Edson","White, W.C.",1/8/1918,"Battle Creek, MI",,
1216,"White, J. Edson","White, W.C.",10/11/1918,"Battle Creek, MI",,
1217,"White, J. Edson",Dear Brother,11/29/1918,"Battle Creek, MI",,
1218,,House plan diagram,,,,
1219,"White, W.C.",Dear Edson,12/13/1918,on train to S.F.,,
1220,"White, J. Edson","White, W.C.",12/13/1918,"Battle Creek, MI",,
1221,"White, W.C.",Brother Edson,12/22/1918,"St Helena, CA",,
1222,"White, J. Edson","White, W.C.",12/30/1918,"Battle Creek, MI",,
